期号,front1,front2,front3,front4,front5,back1,back2,日期,front_sum,front_span,front_odd_count,front_Zone1_count,front_Zone2_count,front_Zone3_count,front_consecutive_count,front_repeat_count,back_sum,back_span,back_odd_count,back_is_large
7001,22,24,29,31,35,4,11,2007-05-30,141,13,3,0,2,3,0,0,15,7,1,1
7002,15,22,31,34,35,5,12,2007-06-02,137,20,3,0,2,3,1,3,17,7,1,1
7003,3,4,18,23,32,1,6,2007-06-04,80,29,2,2,2,1,1,0,7,5,1,0
7004,6,10,16,17,25,2,4,2007-06-06,74,19,2,2,2,1,1,0,6,2,0,0
7005,1,9,19,20,30,2,11,2007-06-09,79,29,3,2,2,1,1,0,13,9,1,1
7006,1,16,20,23,28,3,6,2007-06-11,88,27,2,1,3,1,0,2,9,3,1,0
7007,14,16,25,26,35,4,9,2007-06-13,116,21,2,0,2,3,1,1,13,5,1,1
7008,2,8,11,21,23,4,7,2007-06-16,65,21,3,3,2,0,0,0,11,3,1,1
7009,1,3,9,19,34,9,12,2007-06-18,66,33,4,3,1,1,0,0,21,3,1,1
7010,6,8,18,29,34,9,11,2007-06-20,95,28,1,2,1,2,0,1,20,2,2,1
7011,29,32,33,34,35,9,10,2007-06-23,163,6,3,0,0,5,3,2,19,1,1,1
7012,3,12,15,29,34,7,11,2007-06-25,93,31,3,2,1,2,0,2,18,4,2,1
7013,12,17,27,29,34,6,9,2007-06-27,119,22,3,1,1,3,0,3,15,3,1,1
7014,1,2,7,29,32,6,7,2007-06-30,71,31,3,3,0,2,1,1,13,1,1,1
7015,2,8,12,13,17,11,12,2007-07-02,52,15,2,3,2,0,1,1,23,1,1,1
7016,1,14,19,24,31,3,12,2007-07-04,89,30,3,1,3,1,0,0,15,9,1,1
7017,13,14,29,32,34,3,12,2007-07-07,122,21,2,0,2,3,1,1,15,9,1,1
7018,3,4,16,23,28,6,9,2007-07-09,74,25,2,2,2,1,1,0,15,3,1,1
7019,3,6,17,22,23,4,6,2007-07-11,71,20,3,2,3,0,1,2,10,2,0,0
7020,2,6,11,12,18,5,12,2007-07-14,49,16,1,4,1,0,1,1,17,7,1,1
7021,2,4,24,29,33,1,2,2007-07-16,92,31,2,2,1,2,0,1,3,1,1,0
7022,8,10,12,23,25,3,10,2007-07-18,78,17,2,3,1,1,0,0,13,7,1,1
7023,8,10,23,32,34,8,10,2007-07-21,107,26,1,2,1,2,0,3,18,2,0,1
7024,6,16,20,25,31,4,9,2007-07-23,98,25,2,1,2,2,0,0,13,5,1,1
7025,22,24,26,27,34,2,10,2007-07-25,133,12,1,0,2,3,1,0,12,8,0,1
7026,5,9,13,33,35,1,8,2007-07-28,95,30,5,2,1,2,0,0,9,7,1,1
7027,2,3,10,19,27,6,10,2007-07-30,61,25,3,3,1,1,1,0,16,4,0,1
7028,20,26,30,34,35,3,10,2007-08-01,145,15,1,0,1,4,1,0,13,7,1,1
7029,15,22,25,29,35,9,11,2007-08-04,126,20,4,0,2,3,0,1,20,2,2,1
7030,11,14,27,33,35,2,7,2007-08-06,120,24,4,1,1,3,0,1,9,5,1,1
7031,3,21,27,31,32,6,8,2007-08-08,114,29,4,1,1,3,1,1,14,2,0,1
7032,1,13,21,23,32,4,11,2007-08-11,90,31,4,1,3,1,0,2,15,7,1,1
7033,1,5,8,14,22,3,12,2007-08-13,50,21,2,3,2,0,0,1,15,9,1,1
7034,6,8,11,13,22,2,11,2007-08-15,60,16,2,3,2,0,0,2,13,9,1,1
7035,7,11,16,31,32,1,12,2007-08-18,97,25,3,2,1,2,1,1,13,11,1,1
7036,15,18,21,27,34,1,2,2007-08-20,115,19,3,0,3,2,0,0,3,1,1,0
7037,1,6,7,17,31,11,12,2007-08-22,62,30,4,3,1,1,1,0,23,1,1,1
7038,6,21,25,27,32,8,9,2007-08-25,111,26,3,1,1,3,0,1,17,1,1,1
7039,10,11,20,21,35,7,11,2007-08-27,97,25,3,2,2,1,2,1,18,4,2,1
7040,5,21,25,28,35,1,4,2007-08-29,114,30,4,1,1,3,0,2,5,3,1,0
7041,3,16,17,22,35,1,8,2007-09-01,93,32,3,1,3,1,1,1,9,7,1,1
7042,7,10,22,31,35,5,6,2007-09-03,105,28,3,2,1,2,0,2,11,1,1,0
7043,4,9,22,24,31,2,6,2007-09-05,90,27,2,2,2,1,0,2,8,4,0,0
7044,4,5,7,12,26,1,10,2007-09-08,54,22,2,4,0,1,1,1,11,9,1,1
7045,9,16,20,26,35,11,12,2007-09-10,106,26,2,1,2,2,0,1,23,1,1,1
7046,4,16,18,23,30,1,10,2007-09-12,91,26,1,1,3,1,0,1,11,9,1,1
7047,1,6,15,19,35,2,9,2007-09-15,76,34,4,2,2,1,0,0,11,7,1,1
7048,8,25,26,29,35,6,8,2007-09-17,123,27,3,1,0,4,1,1,14,2,0,1
7049,9,10,15,17,32,4,6,2007-09-19,83,23,3,2,2,1,1,0,10,2,0,0
7050,13,21,22,30,35,1,11,2007-09-22,121,22,3,0,3,2,1,0,12,10,2,1
7051,3,7,24,28,35,8,11,2007-09-24,97,32,3,2,1,2,0,1,19,3,1,1
7052,1,14,29,32,33,5,10,2007-09-26,109,32,3,1,1,3,1,0,15,5,1,1
